"MLS Number ","Close Price","Baths Full","Baths Half","Beds Total","Lot Size SqFt","Pool","Yr Built","Zip Code","Listing Contract Date","SqFt Total","DOM","Number Of Stories","Lot Size","Selling Agent Full Name","List Agent Full Name","1st Financing","Selling Office Name","List Office Name","Street Name","Street Number","Street Type"
"13207668","1950","2","1","4","6098.4","False","1996","75025","2015-07-30","2113","10","2","Less Than .5 Acre (not Zero)","Pingping Xing","Frank Hwang","","JP & Associates, REALTORS Plan","Marie & Marcus Group","Mount Rainier","8908","Drive"
"13243892","1950","3","0","4","6098.4","False","1994","75093","2015-09-21","2440","14","2","","Jorge Garcia","Rashundra Hawkins","","AH4R Management-Tx, LLC","AH4R Management-Tx, LLC","Larkel","4308","Street"
"13266097","1950","3","0","4","4791.6","False","1997","75025","2015-10-27","2312","8","2","","Daisy Wu","Daisy Wu","","Sunet Group","Sunet Group","Fort Laramie","3008","Drive"
"13114855","1955","1","0","1","535352.4","True","1991","75093","2015-03-17","720","15","1","","Brian Bergersen","Brian Bergersen","","Spectrum Properties, Ltd.","Spectrum Properties, Ltd.","Old Shepard","5000","Place"
"13198738","1955","1","0","1","535352.4","True","1991","75093","2015-07-15","720","0","1","","Brian Bergersen","Brian Bergersen","","Spectrum Properties, Ltd.","Spectrum Properties, Ltd.","Old Shepard","5000","Place"
"13221301","1955","1","0","1","535352.4","True","1991","75093","2015-06-16","720","77","1","","Brian Bergersen","Brian Bergersen","","Spectrum Properties, Ltd.","Spectrum Properties, Ltd.","Old Shepard","5000","Place"
"13119317","1980","2","1","3","8276.4","False","1994","75025","2015-03-30","2463","44","1","Less Than .5 Acre (not Zero)","Bruce A. Rayburn Abr Abrm Sres","Mimie Han","","Ebby Halliday, REALTORS-Coit","Ebby Halliday, REALTORS-Coit","Constitution","7705","Drive"
"13188682","1980","2","1","3","4356","False","1997","75093","2015-07-07","2330","4","2","","Sang Park","Brooke Hellstern","","Keller Williams Realty-FM","Metro Interests, Inc","Sunnybrook","4640","Drive"
"13240055","1985","2","1","4","12196.8","False","1973","75075","2015-09-17","2157","4","1","Less Than .5 Acre (not Zero)","Elizabeth Selzer","Paul Curtis","","Ebby Halliday, REALTORS","Assist-2-Sell","Hilltop","3008","Lane"
"13066354","1990","2","0","4","9583.2","True","1972","75075","2014-12-15","2550","36","1","Less Than .5 Acre (not Zero)","Kristen Dailey, Sres","Lynn Schlitzer","","Rogers Healy and Associates","DFW Home","Kimberly","2604","Lane"
"13087916","1990","2","1","3","6534","False","1996","75093","2015-02-01","2428","28","2","Less Than .5 Acre (not Zero)","Kyle Evan Searles","Jianyoung Chen","","Rogers Healy and Associates","D'Ann Linwood","Glenrose","4621","Way"
"13152812","1990","2","1","3","7840.8","False","1998","75025","2015-05-15","2468","32","1","Less Than .5 Acre (not Zero)","Shari Quintana","Ning Tang","","Keller Williams Realty Allen","Super Realty, LLC.","Mesa Oak","2405","Trail"
"13205819","1990","2","1","4","8712","False","1979","75093","2015-07-30","2554","4","2","","Non-Mls Member","Laura G. Lyon Abr Sfr","","NON MLS","Dave Perry Miller Real Estate","Atlanta","4460","Drive"
"13066949","1995","2","1","4","","False","1994","75025","2014-12-17","2641","37","2","","Kimberly Rhew","Pei-Wen Ting","","Halo Group Realty, LLC","Grand Ark LLC","Case","8016","Drive"
"13067674","1995","2","1","3","7840.8","False","1993","75025","2014-12-18","2800","44","2","","Karl Kennerly","Karl Kennerly","","Kennerly Properties","Kennerly Properties","Rolling Hills","3800","Drive"
"13070285","1995","3","0","4","8712","False","1994","75025","2015-02-03","2675","52","1","Less Than .5 Acre (not Zero)","Francisco Alvarez","Saman C. Ilangasinghe","","Ebby Halliday, REALTORS Frisco","Global Realty","Greenwood","8012","Drive"
"13115406","1995","2","0","3","10890","False","1970","75075","2015-03-23","2073","64","1","Less Than .5 Acre (not Zero)","Brittney Hughes","Brittney Hughes","","Ebby Halliday, REALTORS","Ebby Halliday, REALTORS","Arborcove","2709","Drive"
"13118037","1995","3","0","4","6098.4","False","2000","75025","2015-03-27","2742","60","2","Less Than .5 Acre (not Zero)","Janette Santana Walker","Pk Billa","","Vivo Realty, LLC","WILLIAM DAVIS REALTY FRISCO","Deer Horn","2440","Drive"
"13120800","1995","2","1","4","6534","False","1998","75093","2015-03-31","2585","11","2","Less Than .5 Acre (not Zero)","Julie Acuna","Julie Acuna","","Keller Williams Central","Keller Williams Central","Commerce","1544","Drive"
"13122052","1995","2","1","4","7405.2","False","1992","75025","2015-04-02","2420","8","1","","Christopher Ohlig","Rajesh Singh","","Ohlig Group Realty","Hicor Realty Group, LLC","Smokey","8909","Drive"
"13128920","1995","3","0","4","5227.2","False","1997","75093","2015-04-11","1970","37","2","Less Than .5 Acre (not Zero)","Joe Iley","Joe Iley","","Mission Real Estate Group","Mission Real Estate Group","Sunnybrook","4644","Drive"
